2026-05-08 09:50:46,262 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-08 09:50:49,015 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-08 09:50:49,020 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-05-08 09:50:49,215 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-05-08 09:50:49,216 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs params=None
2026-05-08 09:50:51,296 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs -> 200
2026-05-08 09:50:51,298 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/09097c14 params=None
2026-05-08 09:50:51,504 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/09097c14 -> 200
2026-05-08 09:50:51,505 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/09097c14
2026-05-08 09:50:51,742 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/09097c14 -> 200
2026-05-08 09:50:51,743 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/09097c14 params=None
2026-05-08 09:50:52,037 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/09097c14 -> 200
2026-05-08 09:50:52,038 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/f153206c params=None
2026-05-08 09:50:52,225 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/f153206c -> 204
