2026-07-01 11:33:27,357 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-07-01 11:33:30,691 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-07-01 11:33:30,700 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-07-01 11:33:30,938 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-07-01 11:33:30,940 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive params=None
2026-07-01 11:33:31,160 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive -> 200
2026-07-01 11:33:31,160 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive params=None
2026-07-01 11:33:31,476 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive -> 200
2026-07-01 11:33:31,476 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/6a49625a/copy params=None
2026-07-01 11:33:31,676 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/6a49625a/copy -> 204
2026-07-01 11:33:31,677 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/6a49625a params=None
2026-07-01 11:33:31,936 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/6a49625a -> 204
