2026-05-25 11:58:48,482 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-25 11:59:17,427 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-25 11:59:17,440 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-05-25 11:59:18,614 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-05-25 11:59:18,614 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-05-25 11:59:19,310 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-05-25 11:59:19,311 | AttachmentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/attachments params={'test_id': '10679443'}
2026-05-25 11:59:19,531 | AttachmentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/attachments -> 200
2026-05-25 11:59:19,532 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/10679443 params=None
2026-05-25 11:59:20,218 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/10679443 -> 200
2026-05-25 11:59:20,219 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/31974e75 params=None
2026-05-25 11:59:20,618 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/31974e75 -> 200
