2026-05-05 10:11:37,707 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-05 10:11:45,199 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-05 10:11:45,217 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-05-05 10:11:45,677 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-05-05 10:11:45,677 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-05-05 10:11:48,393 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-05-05 10:11:48,394 | AttachmentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/attachments params={'test_id': '96801226'}
2026-05-05 10:11:48,606 | AttachmentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/attachments -> 200
2026-05-05 10:11:48,607 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/96801226 params=None
2026-05-05 10:11:48,979 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/96801226 -> 200
2026-05-05 10:11:48,979 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/e8d3459e params=None
2026-05-05 10:11:49,363 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/e8d3459e -> 200
