2026-03-30 09:46:05,772 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-30 09:46:07,466 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-30 09:46:07,470 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-30 09:46:07,773 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-30 09:46:07,773 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-30 09:46:13,207 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-30 09:46:13,207 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-03-30 09:46:13,354 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-03-30 09:46:13,354 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-03-30 09:46:13,493 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-03-30 09:46:13,494 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/312b858a params=None
2026-03-30 09:46:13,940 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/312b858a -> 200
2026-03-30 09:46:13,940 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/14d18861 params=None
2026-03-30 09:46:14,723 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/14d18861 -> 200
