2026-05-15 10:37:14,588 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-15 10:37:17,888 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-15 10:37:17,895 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-05-15 10:37:18,114 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-05-15 10:37:18,115 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs params=None
2026-05-15 10:37:19,649 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs -> 200
2026-05-15 10:37:19,650 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/417d6139 params=None
2026-05-15 10:37:19,891 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/417d6139 -> 200
2026-05-15 10:37:19,891 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/417d6139
2026-05-15 10:37:20,237 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/417d6139 -> 200
2026-05-15 10:37:20,238 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/417d6139 params=None
2026-05-15 10:37:20,614 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/417d6139 -> 200
2026-05-15 10:37:20,615 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/3a0cb65f params=None
2026-05-15 10:37:20,882 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/3a0cb65f -> 204
