2026-06-18 11:58:12,599 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-06-18 11:58:19,312 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-06-18 11:58:19,321 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-06-18 11:58:19,726 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-06-18 11:58:19,727 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-06-18 11:58:20,157 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-06-18 11:58:20,158 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/ca13b910
2026-06-18 11:58:20,590 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/ca13b910 -> 200
2026-06-18 11:58:20,591 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/ca13b910 params=None
2026-06-18 11:58:21,041 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/ca13b910 -> 200
2026-06-18 11:58:21,042 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/5cdf5d8f params=None
2026-06-18 11:58:21,386 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/5cdf5d8f -> 200
