2026-04-27 10:26:05,509 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-27 10:26:20,134 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-27 10:26:20,139 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-27 10:26:20,484 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-27 10:26:20,484 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-27 10:26:20,805 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-27 10:26:20,805 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/302e73ee params=None
2026-04-27 10:26:20,960 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/302e73ee -> 200
2026-04-27 10:26:20,960 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/302e73ee params=None
2026-04-27 10:26:21,235 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/302e73ee -> 200
2026-04-27 10:26:21,235 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/62af50ba params=None
2026-04-27 10:26:21,492 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/62af50ba -> 200
