2026-04-15 09:48:18,500 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-15 09:48:22,486 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-15 09:48:22,490 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-15 09:48:23,149 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-15 09:48:23,149 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-15 09:48:24,272 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-15 09:48:24,273 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-04-15 09:48:24,435 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-04-15 09:48:24,435 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-04-15 09:48:24,583 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-04-15 09:48:24,584 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/c83e1d15 params=None
2026-04-15 09:48:30,959 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/c83e1d15 -> 200
2026-04-15 09:48:30,959 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/65127cee params=None
2026-04-15 09:48:31,382 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/65127cee -> 200
