2026-06-17 12:24:47,162 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-06-17 12:24:52,617 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-06-17 12:24:52,625 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-06-17 12:24:53,027 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-06-17 12:24:53,028 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-06-17 12:24:56,688 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-06-17 12:24:56,689 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-06-17 12:24:56,830 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-06-17 12:24:56,830 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-06-17 12:24:56,958 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-06-17 12:24:56,959 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/eafd49ec params=None
2026-06-17 12:24:57,348 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/eafd49ec -> 200
2026-06-17 12:24:57,348 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/97d490e6 params=None
2026-06-17 12:24:57,758 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/97d490e6 -> 200
