2026-07-30 10:35:20,963 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-07-30 10:35:25,781 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-07-30 10:35:25,793 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-07-30 10:35:26,243 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-07-30 10:35:26,244 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-07-30 10:35:26,626 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-07-30 10:35:26,627 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/36f33c87
2026-07-30 10:35:26,974 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/36f33c87 -> 200
2026-07-30 10:35:26,974 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/36f33c87 params=None
2026-07-30 10:35:27,398 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/36f33c87 -> 200
2026-07-30 10:35:27,399 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/46cfe9c4 params=None
2026-07-30 10:35:27,788 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/46cfe9c4 -> 200
