2026-06-19 12:17:55,258 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-06-19 12:17:58,839 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-06-19 12:17:58,848 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-06-19 12:17:59,063 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-06-19 12:17:59,065 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive params=None
2026-06-19 12:17:59,296 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive -> 200
2026-06-19 12:17:59,296 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive params=None
2026-06-19 12:17:59,712 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive -> 200
2026-06-19 12:17:59,712 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/725e89d3/copy params=None
2026-06-19 12:17:59,914 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/725e89d3/copy -> 204
2026-06-19 12:17:59,915 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/725e89d3 params=None
2026-06-19 12:18:00,154 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/725e89d3 -> 204
