2026-05-11 11:34:49,554 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-11 11:34:52,542 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-11 11:34:52,548 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-05-11 11:34:53,335 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-05-11 11:34:53,336 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-05-11 11:34:57,853 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-05-11 11:34:57,854 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-05-11 11:34:58,070 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-05-11 11:34:58,070 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-05-11 11:34:58,243 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-05-11 11:34:58,244 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/f1cbc477 params=None
2026-05-11 11:34:58,683 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/f1cbc477 -> 200
2026-05-11 11:34:58,684 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/6280074a params=None
2026-05-11 11:34:59,071 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/6280074a -> 200
