2026-07-17 10:10:20,108 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-07-17 10:10:26,793 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-07-17 10:10:26,803 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-07-17 10:10:27,297 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-07-17 10:10:27,297 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-07-17 10:10:27,855 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-07-17 10:10:27,856 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-07-17 10:10:28,067 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-07-17 10:10:28,067 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-07-17 10:10:28,279 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-07-17 10:10:28,279 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/dd8a27f0 params=None
2026-07-17 10:10:28,670 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/dd8a27f0 -> 200
2026-07-17 10:10:28,671 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/8c05e02b params=None
2026-07-17 10:10:29,125 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/8c05e02b -> 200
