2026-04-15 09:48:08,331 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-15 09:48:12,344 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-15 09:48:12,349 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-04-15 09:48:12,542 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-04-15 09:48:12,543 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive params=None
2026-04-15 09:48:12,757 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive -> 200
2026-04-15 09:48:12,757 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive params=None
2026-04-15 09:48:13,068 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive -> 200
2026-04-15 09:48:13,068 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/b4df5fb0/copy params=None
2026-04-15 09:48:13,275 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/b4df5fb0/copy -> 204
2026-04-15 09:48:13,275 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/b4df5fb0 params=None
2026-04-15 09:48:13,498 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/b4df5fb0 -> 204
