2026-03-17 09:06:14,564 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-17 09:06:25,258 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-17 09:06:25,261 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-17 09:06:25,859 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-17 09:06:25,859 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-17 09:06:28,629 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-17 09:06:28,630 | AttachmentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/attachments params={'test_id': '0354f323'}
2026-03-17 09:06:29,093 | AttachmentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/attachments -> 200
2026-03-17 09:06:29,094 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/0354f323 params=None
2026-03-17 09:06:29,463 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/0354f323 -> 200
2026-03-17 09:06:29,464 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/4daeb10e params=None
2026-03-17 09:06:29,739 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/4daeb10e -> 200
