2026-05-21 11:35:35,771 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-21 11:35:51,324 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-21 11:35:51,332 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-05-21 11:35:56,622 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-05-21 11:35:56,622 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-05-21 11:35:57,016 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-05-21 11:35:57,016 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/bae699b3 params=None
2026-05-21 11:35:57,212 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/bae699b3 -> 200
2026-05-21 11:35:57,212 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/bae699b3 params=None
2026-05-21 11:35:57,566 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/bae699b3 -> 200
2026-05-21 11:35:57,567 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/f7f66086 params=None
2026-05-21 11:35:57,870 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/f7f66086 -> 200
