2026-04-30 10:19:31,585 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-30 10:19:44,173 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-30 10:19:44,179 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-04-30 10:19:44,559 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-04-30 10:19:44,560 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive params=None
2026-04-30 10:19:44,770 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive -> 200
2026-04-30 10:19:44,770 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive params=None
2026-04-30 10:19:45,164 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive -> 200
2026-04-30 10:19:45,165 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/6931e527/copy params=None
2026-04-30 10:19:45,323 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/6931e527/copy -> 204
2026-04-30 10:19:45,324 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/6931e527 params=None
2026-04-30 10:19:45,542 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/6931e527 -> 204
