2026-08-04 10:48:17,201 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-08-04 10:48:20,370 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-08-04 10:48:20,376 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-08-04 10:48:20,748 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-08-04 10:48:20,748 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-08-04 10:48:21,087 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-08-04 10:48:21,087 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/5ba8f1bc params=None
2026-08-04 10:48:21,243 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/5ba8f1bc -> 200
2026-08-04 10:48:21,243 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/5ba8f1bc params=None
2026-08-04 10:48:21,553 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/5ba8f1bc -> 200
2026-08-04 10:48:21,553 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/e8939af8 params=None
2026-08-04 10:48:21,978 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/e8939af8 -> 200
