2026-03-18 09:05:37,633 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-18 09:05:43,450 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-18 09:05:43,453 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-18 09:05:45,586 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-18 09:05:45,586 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-18 09:05:46,466 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-18 09:05:46,467 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/423b1986
2026-03-18 09:05:47,085 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/423b1986 -> 200
2026-03-18 09:05:47,086 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/423b1986 params=None
2026-03-18 09:05:47,639 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/423b1986 -> 200
2026-03-18 09:05:47,640 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/ae85eb3c params=None
2026-03-18 09:05:48,058 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/ae85eb3c -> 200
