2026-05-22 11:15:29,425 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-22 11:15:32,443 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-22 11:15:32,450 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-05-22 11:15:33,843 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-05-22 11:15:33,843 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-05-22 11:15:35,130 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-05-22 11:15:35,131 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/787d08c5
2026-05-22 11:15:36,185 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/787d08c5 -> 200
2026-05-22 11:15:36,186 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/787d08c5 params=None
2026-05-22 11:15:37,157 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/787d08c5 -> 200
2026-05-22 11:15:37,158 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/1ac70aa1 params=None
2026-05-22 11:15:38,585 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/1ac70aa1 -> 200
