2026-05-06 10:26:27,595 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-06 10:26:30,589 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-06 10:26:30,594 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-05-06 10:26:30,970 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-05-06 10:26:30,970 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-05-06 10:26:31,310 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-05-06 10:26:31,310 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/bb6ab66c params=None
2026-05-06 10:26:31,483 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/bb6ab66c -> 200
2026-05-06 10:26:31,483 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/bb6ab66c params=None
2026-05-06 10:26:34,240 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/bb6ab66c -> 200
2026-05-06 10:26:34,240 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/50b04331 params=None
2026-05-06 10:26:34,582 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/50b04331 -> 200
