2026-04-13 10:05:38,660 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-13 10:05:42,346 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-13 10:05:42,350 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-13 10:05:42,698 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-13 10:05:42,698 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-13 10:05:43,024 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-13 10:05:43,025 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/ee9925a2
2026-04-13 10:05:51,378 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/ee9925a2 -> 200
2026-04-13 10:05:51,379 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/ee9925a2 params=None
2026-04-13 10:05:51,715 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/ee9925a2 -> 200
2026-04-13 10:05:51,716 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/c82b3ff9 params=None
2026-04-13 10:05:52,057 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/c82b3ff9 -> 200
