2026-03-09 09:00:31,841 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-09 09:00:33,918 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-09 09:00:33,921 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-09 09:00:34,427 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-09 09:00:34,428 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-09 09:00:35,051 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-09 09:00:35,052 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/357b5dc5
2026-03-09 09:00:35,899 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/357b5dc5 -> 200
2026-03-09 09:00:35,900 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/357b5dc5 params=None
2026-03-09 09:00:37,590 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/357b5dc5 -> 200
2026-03-09 09:00:37,590 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/8e2bccae params=None
2026-03-09 09:00:38,400 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/8e2bccae -> 200
