2026-04-01 09:21:42,862 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-01 09:21:44,918 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-01 09:21:44,922 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-01 09:21:47,310 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-01 09:21:47,311 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-01 09:21:48,810 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-01 09:21:48,811 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-04-01 09:21:49,024 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-04-01 09:21:49,024 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-04-01 09:21:49,200 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-04-01 09:21:49,201 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/c50081dc params=None
2026-04-01 09:21:50,140 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/c50081dc -> 200
2026-04-01 09:21:50,141 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/0c79d8fc params=None
2026-04-01 09:21:51,360 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/0c79d8fc -> 200
