2026-08-05 10:45:28,857 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-08-05 10:45:32,570 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-08-05 10:45:32,574 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-08-05 10:45:33,400 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-08-05 10:45:33,400 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-08-05 10:45:33,859 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-08-05 10:45:33,859 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/d1d14da4
2026-08-05 10:45:34,419 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/d1d14da4 -> 200
2026-08-05 10:45:34,420 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/d1d14da4 params=None
2026-08-05 10:45:35,115 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/d1d14da4 -> 200
2026-08-05 10:45:35,115 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/b9263197 params=None
2026-08-05 10:45:35,646 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/b9263197 -> 200
