2026-03-06 08:55:19,476 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-06 08:55:21,018 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-06 08:55:21,021 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-03-06 08:55:21,217 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-03-06 08:55:21,218 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs params=None
2026-03-06 08:55:30,291 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs -> 200
2026-03-06 08:55:30,293 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/885490b4 params=None
2026-03-06 08:55:41,717 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/885490b4 -> 200
2026-03-06 08:55:41,717 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/885490b4
2026-03-06 08:55:43,825 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/885490b4 -> 200
2026-03-06 08:55:43,826 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/885490b4 params=None
2026-03-06 08:55:47,078 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/885490b4 -> 200
2026-03-06 08:55:47,078 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/131bcdab params=None
2026-03-06 08:55:47,321 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/131bcdab -> 204
