2026-07-03 10:50:27,117 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-07-03 10:50:31,879 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-07-03 10:50:31,922 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-07-03 10:50:32,309 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-07-03 10:50:32,309 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-07-03 10:50:35,155 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-07-03 10:50:35,156 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-07-03 10:50:35,292 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-07-03 10:50:35,292 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-07-03 10:50:35,444 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-07-03 10:50:35,445 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/26ca787e params=None
2026-07-03 10:50:35,729 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/26ca787e -> 200
2026-07-03 10:50:35,730 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/416d4645 params=None
2026-07-03 10:50:36,030 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/416d4645 -> 200
