2026-07-02 10:50:26,765 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-07-02 10:50:55,535 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-07-02 10:50:55,544 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-07-02 10:50:56,304 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-07-02 10:50:56,304 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-07-02 10:50:56,756 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-07-02 10:50:56,757 | CommentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/comments params={'test_id': '49505644'}
2026-07-02 10:50:56,995 | CommentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/comments -> 200
2026-07-02 10:50:56,995 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/49505644 params=None
2026-07-02 10:50:57,369 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/49505644 -> 200
2026-07-02 10:50:57,369 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/669cf0d5 params=None
2026-07-02 10:50:57,881 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/669cf0d5 -> 200
