2026-04-07 09:18:35,237 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-07 09:18:38,094 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-07 09:18:38,098 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-07 09:18:38,579 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-07 09:18:38,579 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-07 09:18:39,267 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-07 09:18:39,268 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/aad77f0d params=None
2026-04-07 09:18:39,485 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/aad77f0d -> 200
2026-04-07 09:18:39,485 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/aad77f0d params=None
2026-04-07 09:18:39,857 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/aad77f0d -> 200
2026-04-07 09:18:39,857 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/5c37d66f params=None
2026-04-07 09:18:40,207 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/5c37d66f -> 200
