2026-03-04 08:56:17,591 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-04 08:56:22,537 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-04 08:56:22,539 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-04 08:56:22,828 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-04 08:56:22,828 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-04 08:56:23,399 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-04 08:56:23,400 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/88841689
2026-03-04 08:56:23,819 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/88841689 -> 200
2026-03-04 08:56:23,819 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/88841689 params=None
2026-03-04 08:56:24,176 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/88841689 -> 200
2026-03-04 08:56:24,177 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/ee00ea28 params=None
2026-03-04 08:56:24,468 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/ee00ea28 -> 200
