2026-06-05 11:36:14,706 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-06-05 11:36:19,868 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-06-05 11:36:19,875 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-06-05 11:36:20,273 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-06-05 11:36:20,273 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-06-05 11:36:20,692 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-06-05 11:36:20,693 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/64092d7f
2026-06-05 11:36:21,050 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/64092d7f -> 200
2026-06-05 11:36:21,051 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/64092d7f params=None
2026-06-05 11:36:21,446 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/64092d7f -> 200
2026-06-05 11:36:21,447 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/6bd3ebd8 params=None
2026-06-05 11:36:21,777 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/6bd3ebd8 -> 200
