2026-03-09 09:00:21,411 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-09 09:00:23,073 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-09 09:00:23,076 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-09 09:00:23,446 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-09 09:00:23,447 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-09 09:00:23,936 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-09 09:00:23,937 | CommentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/comments params={'test_id': '09b1d605'}
2026-03-09 09:00:24,136 | CommentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/comments -> 200
2026-03-09 09:00:24,137 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/09b1d605 params=None
2026-03-09 09:00:24,695 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/09b1d605 -> 200
2026-03-09 09:00:24,695 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/eeb399c5 params=None
2026-03-09 09:00:25,325 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/eeb399c5 -> 200
