2026-06-29 12:43:08,003 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-06-29 12:43:13,468 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-06-29 12:43:13,478 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-06-29 12:43:13,678 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-06-29 12:43:13,679 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs params=None
2026-06-29 12:43:15,204 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs -> 200
2026-06-29 12:43:15,206 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/5e0cf8f7 params=None
2026-06-29 12:43:15,407 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/5e0cf8f7 -> 200
2026-06-29 12:43:15,408 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/5e0cf8f7
2026-06-29 12:43:15,615 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/5e0cf8f7 -> 200
2026-06-29 12:43:15,616 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/5e0cf8f7 params=None
2026-06-29 12:43:15,882 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/5e0cf8f7 -> 200
2026-06-29 12:43:15,883 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/1329554b params=None
2026-06-29 12:43:16,081 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/1329554b -> 204
