2026-03-04 08:55:31,386 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-04 08:55:33,140 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-04 08:55:33,143 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-04 08:55:33,651 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-04 08:55:33,651 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-04 08:55:34,358 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-04 08:55:34,358 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/718ed0b2 params=None
2026-03-04 08:55:34,572 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/718ed0b2 -> 200
2026-03-04 08:55:34,572 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/718ed0b2 params=None
2026-03-04 08:55:34,960 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/718ed0b2 -> 200
2026-03-04 08:55:34,960 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/d59341a9 params=None
2026-03-04 08:55:35,392 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/d59341a9 -> 200
