2026-05-20 11:19:45,451 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-20 11:19:49,475 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-20 11:19:49,481 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-05-20 11:19:53,612 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-05-20 11:19:53,612 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-05-20 11:19:54,095 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-05-20 11:19:54,096 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/1390e459
2026-05-20 11:19:54,576 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/1390e459 -> 200
2026-05-20 11:19:54,576 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/1390e459 params=None
2026-05-20 11:19:54,964 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/1390e459 -> 200
2026-05-20 11:19:54,965 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/8017bab1 params=None
2026-05-20 11:19:55,303 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/8017bab1 -> 200
