2026-03-12 08:59:46,164 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-12 08:59:47,395 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-12 08:59:47,398 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-12 08:59:48,234 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-12 08:59:48,234 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-12 08:59:48,899 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-12 08:59:48,900 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/0d2c44c3
2026-03-12 08:59:49,273 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/0d2c44c3 -> 200
2026-03-12 08:59:49,274 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/0d2c44c3 params=None
2026-03-12 08:59:49,603 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/0d2c44c3 -> 200
2026-03-12 08:59:49,604 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/1167bcea params=None
2026-03-12 08:59:49,923 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/1167bcea -> 200
