2026-05-19 11:32:00,214 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-19 11:32:02,999 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-19 11:32:03,007 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-05-19 11:32:03,400 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-05-19 11:32:03,401 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-05-19 11:32:04,085 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-05-19 11:32:04,086 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/7dbc8a90
2026-05-19 11:32:04,678 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/7dbc8a90 -> 200
2026-05-19 11:32:04,679 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/7dbc8a90 params=None
2026-05-19 11:32:05,558 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/7dbc8a90 -> 200
2026-05-19 11:32:05,559 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/46f1567e params=None
2026-05-19 11:32:06,119 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/46f1567e -> 200
