2026-04-13 10:04:51,518 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-13 10:04:56,076 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-13 10:04:56,081 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-13 10:04:56,724 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-13 10:04:56,724 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-13 10:04:57,343 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-13 10:04:57,343 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/4b6d4936 params=None
2026-04-13 10:04:57,499 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/4b6d4936 -> 200
2026-04-13 10:04:57,499 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/4b6d4936 params=None
2026-04-13 10:04:57,980 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/4b6d4936 -> 200
2026-04-13 10:04:57,980 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/f2762500 params=None
2026-04-13 10:04:58,254 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/f2762500 -> 200
