2026-06-16 13:03:42,046 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-06-16 13:03:46,497 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-06-16 13:03:46,504 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-06-16 13:03:48,022 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-06-16 13:03:48,022 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-06-16 13:03:54,171 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-06-16 13:03:54,172 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-06-16 13:03:54,371 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-06-16 13:03:54,371 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-06-16 13:03:54,535 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-06-16 13:03:54,536 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/ea81f272 params=None
2026-06-16 13:03:55,233 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/ea81f272 -> 200
2026-06-16 13:03:55,234 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/8e946fac params=None
2026-06-16 13:03:55,895 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/8e946fac -> 200
