2026-07-14 10:08:48,988 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-07-14 10:08:53,767 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-07-14 10:08:53,778 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-07-14 10:08:54,508 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-07-14 10:08:54,509 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-07-14 10:08:59,915 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-07-14 10:08:59,916 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-07-14 10:09:00,123 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-07-14 10:09:00,123 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-07-14 10:09:00,292 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-07-14 10:09:00,293 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/81586577 params=None
2026-07-14 10:09:00,668 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/81586577 -> 200
2026-07-14 10:09:00,669 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/4575eac3 params=None
2026-07-14 10:09:01,239 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/4575eac3 -> 200
