2026-04-09 09:23:33,954 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-09 09:23:37,001 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-09 09:23:37,005 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-09 09:23:37,346 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-09 09:23:37,346 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-09 09:23:37,843 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-09 09:23:37,844 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/18a23537
2026-04-09 09:23:38,265 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/18a23537 -> 200
2026-04-09 09:23:38,266 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/18a23537 params=None
2026-04-09 09:23:38,834 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/18a23537 -> 200
2026-04-09 09:23:38,835 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/fc699343 params=None
2026-04-09 09:23:39,260 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/fc699343 -> 200
