2026-05-13 10:40:35,511 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-13 10:40:59,885 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-13 10:40:59,893 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-05-13 10:41:00,410 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-05-13 10:41:00,411 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-05-13 10:41:01,685 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-05-13 10:41:01,686 | CommentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/comments params={'test_id': 'a79f3ea0'}
2026-05-13 10:41:01,898 | CommentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/comments -> 200
2026-05-13 10:41:01,899 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/a79f3ea0 params=None
2026-05-13 10:41:02,348 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/a79f3ea0 -> 200
2026-05-13 10:41:02,349 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/778b71bf params=None
2026-05-13 10:41:02,899 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/778b71bf -> 200
