2026-04-14 09:47:55,376 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-14 09:47:57,946 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-14 09:47:57,951 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-04-14 09:47:58,180 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-04-14 09:47:58,180 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs params=None
2026-04-14 09:47:58,662 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs -> 200
2026-04-14 09:47:58,664 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/d67e092f params=None
2026-04-14 09:47:58,936 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/d67e092f -> 200
2026-04-14 09:47:58,936 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/d67e092f
2026-04-14 09:47:59,196 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/d67e092f -> 200
2026-04-14 09:47:59,197 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/d67e092f params=None
2026-04-14 09:47:59,529 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/d67e092f -> 200
2026-04-14 09:47:59,529 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/a6bb3473 params=None
2026-04-14 09:47:59,790 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/a6bb3473 -> 204
