2026-05-18 11:53:14,169 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-18 11:53:36,365 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-18 11:53:36,372 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-05-18 11:53:37,355 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-05-18 11:53:37,355 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-05-18 11:53:37,914 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-05-18 11:53:37,915 | CommentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/comments params={'test_id': '17c72118'}
2026-05-18 11:53:38,169 | CommentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/comments -> 200
2026-05-18 11:53:38,170 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/17c72118 params=None
2026-05-18 11:53:38,706 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/17c72118 -> 200
2026-05-18 11:53:38,707 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/a6f41307 params=None
2026-05-18 11:53:39,250 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/a6f41307 -> 200
