2026-07-09 11:18:13,350 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-07-09 11:18:17,626 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-07-09 11:18:17,635 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-07-09 11:18:18,382 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-07-09 11:18:18,382 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-07-09 11:18:18,849 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-07-09 11:18:18,850 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/5161532e
2026-07-09 11:18:19,203 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/5161532e -> 200
2026-07-09 11:18:19,204 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/5161532e params=None
2026-07-09 11:18:19,536 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/5161532e -> 200
2026-07-09 11:18:19,536 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/6e95ba80 params=None
2026-07-09 11:18:19,851 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/6e95ba80 -> 200
