2026-03-02 09:00:49,919 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-02 09:00:53,841 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-02 09:00:53,843 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-03-02 09:00:54,089 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-03-02 09:00:54,089 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs params=None
2026-03-02 09:00:54,760 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs -> 200
2026-03-02 09:00:54,761 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/816fabcc params=None
2026-03-02 09:00:55,098 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/816fabcc -> 200
2026-03-02 09:00:55,099 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/816fabcc
2026-03-02 09:00:55,522 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/816fabcc -> 200
2026-03-02 09:00:55,523 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/816fabcc params=None
2026-03-02 09:00:55,854 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/816fabcc -> 200
2026-03-02 09:00:55,855 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/f5f692b0 params=None
2026-03-02 09:00:56,090 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/f5f692b0 -> 204
