2026-04-02 09:14:09,611 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-02 09:14:13,696 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-02 09:14:13,700 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-04-02 09:14:13,912 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-04-02 09:14:13,913 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs params=None
2026-04-02 09:14:14,416 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs -> 200
2026-04-02 09:14:14,417 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/c805d180 params=None
2026-04-02 09:14:14,721 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/c805d180 -> 200
2026-04-02 09:14:14,721 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/c805d180
2026-04-02 09:14:15,046 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/c805d180 -> 200
2026-04-02 09:14:15,047 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/c805d180 params=None
2026-04-02 09:14:15,421 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/c805d180 -> 200
2026-04-02 09:14:15,422 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/b5fb143c params=None
2026-04-02 09:14:15,653 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/b5fb143c -> 204
