2026-07-10 11:18:12,266 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-07-10 11:18:20,223 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-07-10 11:18:20,267 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-07-10 11:18:20,772 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-07-10 11:18:20,772 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-07-10 11:18:21,210 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-07-10 11:18:21,211 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-07-10 11:18:21,360 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-07-10 11:18:21,360 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-07-10 11:18:21,527 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-07-10 11:18:21,528 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/90377523 params=None
2026-07-10 11:18:21,968 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/90377523 -> 200
2026-07-10 11:18:21,968 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/f2bfa89b params=None
2026-07-10 11:18:22,352 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/f2bfa89b -> 200
