2026-03-19 08:59:52,658 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-19 08:59:55,454 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-19 08:59:55,457 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-19 08:59:55,915 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-19 08:59:55,916 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-19 08:59:56,298 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-19 08:59:56,299 | CommentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/comments params={'test_id': '5786ece1'}
2026-03-19 08:59:56,507 | CommentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/comments -> 200
2026-03-19 08:59:56,508 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/5786ece1 params=None
2026-03-19 08:59:56,927 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/5786ece1 -> 200
2026-03-19 08:59:56,927 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/f556aae0 params=None
2026-03-19 08:59:57,352 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/f556aae0 -> 200
