2026-06-23 11:29:35,752 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-06-23 11:29:41,340 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-06-23 11:29:41,350 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-06-23 11:29:42,013 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-06-23 11:29:42,014 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-06-23 11:29:47,746 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-06-23 11:29:47,748 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-06-23 11:29:47,921 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-06-23 11:29:47,921 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-06-23 11:29:48,075 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-06-23 11:29:48,076 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/6093e087 params=None
2026-06-23 11:29:48,345 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/6093e087 -> 200
2026-06-23 11:29:48,345 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/c10d4146 params=None
2026-06-23 11:29:48,732 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/c10d4146 -> 200
