2026-03-02 09:00:16,108 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-02 09:00:17,411 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-02 09:00:17,414 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-02 09:00:17,874 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-02 09:00:17,874 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-02 09:00:18,476 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-02 09:00:18,476 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/7f3e079d params=None
2026-03-02 09:00:18,651 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/7f3e079d -> 200
2026-03-02 09:00:18,651 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/7f3e079d params=None
2026-03-02 09:00:18,903 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/7f3e079d -> 200
2026-03-02 09:00:18,903 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/491ad12e params=None
2026-03-02 09:00:19,145 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/491ad12e -> 200
