2026-07-23 10:34:56,696 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-07-23 10:35:03,161 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-07-23 10:35:03,171 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-07-23 10:35:03,515 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-07-23 10:35:03,517 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive params=None
2026-07-23 10:35:03,802 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive -> 200
2026-07-23 10:35:03,803 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive params=None
2026-07-23 10:35:04,203 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive -> 200
2026-07-23 10:35:04,203 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/730268ad/copy params=None
2026-07-23 10:35:04,433 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/730268ad/copy -> 204
2026-07-23 10:35:04,434 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/730268ad params=None
2026-07-23 10:35:04,722 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/730268ad -> 204
