2026-03-06 08:55:47,476 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-06 08:55:48,600 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-06 08:55:48,603 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-06 08:55:54,689 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-06 08:55:54,689 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-06 08:55:57,580 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-06 08:55:57,581 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-03-06 08:55:57,753 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-03-06 08:55:57,753 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-03-06 08:55:57,895 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-03-06 08:55:57,896 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/c3613565 params=None
2026-03-06 08:56:02,693 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/c3613565 -> 200
2026-03-06 08:56:02,693 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/b24c5bc7 params=None
2026-03-06 08:56:08,003 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/b24c5bc7 -> 200
