2026-03-20 08:58:53,061 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-20 08:58:54,837 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-20 08:58:54,840 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-03-20 08:58:55,242 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-03-20 08:58:55,243 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs params=None
2026-03-20 08:58:57,548 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs -> 200
2026-03-20 08:58:57,550 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/cfa8880d params=None
2026-03-20 08:59:04,191 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/cfa8880d -> 200
2026-03-20 08:59:04,192 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/cfa8880d
2026-03-20 08:59:04,466 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/cfa8880d -> 200
2026-03-20 08:59:04,467 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/cfa8880d params=None
2026-03-20 08:59:04,884 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/cfa8880d -> 200
2026-03-20 08:59:04,885 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/3f9cb0df params=None
2026-03-20 08:59:05,134 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/3f9cb0df -> 204
