2026-03-16 09:11:50,241 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-16 09:11:56,928 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-16 09:11:56,932 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-16 09:11:57,355 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-16 09:11:57,356 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-16 09:11:57,932 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-16 09:11:57,933 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/9decc3bd
2026-03-16 09:11:58,476 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/9decc3bd -> 200
2026-03-16 09:11:58,477 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/9decc3bd params=None
2026-03-16 09:11:58,794 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/9decc3bd -> 200
2026-03-16 09:11:58,795 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/8ddf0743 params=None
2026-03-16 09:11:59,089 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/8ddf0743 -> 200
