2026-06-01 13:46:13,484 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-06-01 13:46:18,951 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-06-01 13:46:18,958 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-06-01 13:46:19,406 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-06-01 13:46:19,407 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-06-01 13:46:20,227 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-06-01 13:46:20,228 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/d423dacc
2026-06-01 13:46:20,818 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/d423dacc -> 200
2026-06-01 13:46:20,818 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/d423dacc params=None
2026-06-01 13:46:21,223 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/d423dacc -> 200
2026-06-01 13:46:21,223 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/d7f669e3 params=None
2026-06-01 13:46:21,548 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/d7f669e3 -> 200
