2026-05-08 09:50:20,897 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-08 09:50:23,590 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-08 09:50:23,595 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-05-08 09:50:23,787 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-05-08 09:50:23,788 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive params=None
2026-05-08 09:50:23,964 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive -> 200
2026-05-08 09:50:23,964 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive params=None
2026-05-08 09:50:24,274 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive -> 200
2026-05-08 09:50:24,274 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/ad4df1c0/copy params=None
2026-05-08 09:50:24,418 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/ad4df1c0/copy -> 204
2026-05-08 09:50:24,419 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/ad4df1c0 params=None
2026-05-08 09:50:24,626 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/ad4df1c0 -> 204
