2026-05-06 10:27:41,021 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-06 10:27:44,173 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-06 10:27:44,192 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-05-06 10:27:44,784 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-05-06 10:27:44,785 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-05-06 10:27:45,816 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-05-06 10:27:45,817 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-05-06 10:27:46,109 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-05-06 10:27:46,109 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-05-06 10:27:46,321 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-05-06 10:27:46,322 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/8d27fcf9 params=None
2026-05-06 10:27:51,702 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/8d27fcf9 -> 200
2026-05-06 10:27:51,703 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/a644693a params=None
2026-05-06 10:27:52,162 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/a644693a -> 200
