2026-06-26 11:14:24,002 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-06-26 11:14:30,305 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-06-26 11:14:30,315 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-06-26 11:14:31,986 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-06-26 11:14:31,987 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-06-26 11:14:34,591 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-06-26 11:14:34,592 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-06-26 11:14:34,807 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-06-26 11:14:34,807 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-06-26 11:14:35,036 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-06-26 11:14:35,036 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/730f5471 params=None
2026-06-26 11:14:35,611 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/730f5471 -> 200
2026-06-26 11:14:35,611 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/62dbbfc2 params=None
2026-06-26 11:14:37,267 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/62dbbfc2 -> 200
