2026-05-28 11:49:03,491 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-28 11:49:26,596 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-28 11:49:26,604 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-05-28 11:49:27,921 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-05-28 11:49:27,922 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-05-28 11:49:29,289 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-05-28 11:49:29,289 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/92415d43 params=None
2026-05-28 11:49:29,444 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/92415d43 -> 200
2026-05-28 11:49:29,444 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/92415d43 params=None
2026-05-28 11:49:30,194 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/92415d43 -> 200
2026-05-28 11:49:30,194 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/7e35cb2b params=None
2026-05-28 11:49:30,503 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/7e35cb2b -> 200
