2026-08-05 10:45:05,493 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-08-05 10:45:09,176 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-08-05 10:45:09,183 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-08-05 10:45:10,270 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-08-05 10:45:10,271 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-08-05 10:45:10,848 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-08-05 10:45:10,848 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/93981846 params=None
2026-08-05 10:45:11,109 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/93981846 -> 200
2026-08-05 10:45:11,110 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/93981846 params=None
2026-08-05 10:45:11,593 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/93981846 -> 200
2026-08-05 10:45:11,593 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/56bc6e55 params=None
2026-08-05 10:45:12,177 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/56bc6e55 -> 200
