2026-05-15 10:35:34,736 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-15 10:35:52,816 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-15 10:35:52,826 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-05-15 10:35:53,353 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-05-15 10:35:53,353 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-05-15 10:35:54,023 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-05-15 10:35:54,024 | AttachmentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/attachments params={'test_id': '40376674'}
2026-05-15 10:35:54,778 | AttachmentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/attachments -> 200
2026-05-15 10:35:54,779 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/40376674 params=None
2026-05-15 10:35:55,229 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/40376674 -> 200
2026-05-15 10:35:55,230 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/2c993989 params=None
2026-05-15 10:35:55,641 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/2c993989 -> 200
