2026-03-30 09:45:50,362 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-30 09:46:00,002 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-30 09:46:00,006 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-30 09:46:00,461 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-30 09:46:00,461 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-30 09:46:01,044 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-30 09:46:01,045 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/1ccc3871
2026-03-30 09:46:01,851 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/1ccc3871 -> 200
2026-03-30 09:46:01,852 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/1ccc3871 params=None
2026-03-30 09:46:02,837 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/1ccc3871 -> 200
2026-03-30 09:46:02,838 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/14f82328 params=None
2026-03-30 09:46:03,752 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/14f82328 -> 200
